2025-06-15 15:35:43 | DEBUG    | __main__:807 | 事件内容: {'day': 1, 'phase': 'vote', 'voter': 0, 'target': 6, 'alive': [0, 1, 2, 4, 5]}
2025-06-15 15:35:43 | DEBUG    | __main__:807 | 事件内容: {'day': 1, 'phase': 'vote', 'out': 0, 'votes': [3, 1, 0, 0, 0, 0], 'alive': [1, 2, 4, 5]}
2025-06-15 15:35:43 | DEBUG    | __main__:807 | 事件内容: {'day': 1, 'phase': 'seer_check', 'seer': 4, 'target': 5, 'role': 1, 'alive': [1, 2, 4, 5]}
2025-06-15 15:35:43 | DEBUG    | __main__:807 | 事件内容: {'day': 1, 'phase': 'night', 'victim': 1, 'alive': [2, 4, 5]}
2025-06-15 15:35:44 | DEBUG    | __main__:985 | 发言阶段开始: day=2, current_speaker=0
2025-06-15 15:35:44 | DEBUG    | __main__:985 | 发言阶段开始: day=2, current_speaker=2
2025-06-15 15:35:46 | DEBUG    | __main__:985 | 发言阶段开始: day=2, current_speaker=4
2025-06-15 15:35:46 | DEBUG    | __main__:985 | 发言阶段开始: day=2, current_speaker=5
2025-06-15 15:35:47 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:47] "GET /socket.io/?EIO=4&transport=websocket&sid=tKb1RV9TDzfBLWWTAAAK HTTP/1.1" 200 -
2025-06-15 15:37:17 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:37:17] "GET /socket.io/?EIO=4&transport=polling&t=PToXN62 HTTP/1.1" 200 -
2025-06-15 15:37:17 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:37:17] "POST /socket.io/?EIO=4&transport=polling&t=PToXN6D&sid=3n7fCoPehM7mCpaPAAAM HTTP/1.1" 200 -
2025-06-15 15:37:17 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:37:17] "GET /socket.io/?EIO=4&transport=polling&t=PToXN6E&sid=3n7fCoPehM7mCpaPAAAM HTTP/1.1" 200 -
2025-06-15 15:37:20 | DEBUG    | human_ai_game:423 | AI狼人4(玩家5) -> 5
2025-06-15 15:37:22 | DEBUG    | __main__:772 | --- 预言家行动已收集 ---
2025-06-15 15:37:22 | DEBUG    | __main__:777 | 预言家3  查验 4
2025-06-15 15:37:23 | DEBUG    | __main__:796 | 执行环境.step, 夜晚行动: {'0': 5, '4': array([5]), '1': 6, '2': 6, '3': array([4]), '5': 6}
2025-06-15 15:37:23 | DEBUG    | __main__:798 | 环境.step 完成, 存活: [0, 1, 2, 3, 4]
2025-06-15 15:37:23 | DEBUG    | __main__:805 | 检查最近5个事件
2025-06-15 15:37:23 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'seer_check', 'seer': 3, 'target': 4, 'role': 0, 'alive': [0, 1, 2, 3, 4, 5]}
2025-06-15 15:37:23 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'night', 'victim': 5, 'alive': [0, 1, 2, 3, 4]}
2025-06-15 15:37:24 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=0
2025-06-15 15:37:27 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=1
